2026-04-15 21:58:18,991 | backend | INFO | ZMQ bridge ready: sensor=tcp://0.0.0.0:6001 command=tcp://0.0.0.0:6002
2026-04-15 21:58:19,292 | backend | INFO | Backend startup completed
2026-04-15 21:58:43,139 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:58:43,141 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:58:43,141 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:58:43,154 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:58:43,155 | backend | INFO | Received odom for ysc pose=[1.45, -0.196, 0.0, 0.0, 0.0, 0.9416, 0.3368]
2026-04-15 21:58:43,155 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:58:43,156 | backend | INFO | Received video frame for piper/side
2026-04-15 21:58:43,159 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:58:43,174 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:58:43,174 | backend | INFO | Received odom for galaxy pose=[-0.816, 0.867, 0.0, 0.0, 0.0, 0.7958, 0.6055]
2026-04-15 21:58:48,143 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:58:48,170 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:58:48,172 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:58:48,174 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:58:48,186 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:58:48,186 | backend | INFO | Received odom for galaxy pose=[-1.269, 0.343, 0.0, 0.0, 0.0, 0.9809, 0.1944]
2026-04-15 21:58:48,202 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:58:48,213 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:58:48,213 | backend | INFO | Received odom for ysc pose=[2.226, -0.861, 0.0, 0.0, 0.0, 0.9647, -0.2634]
2026-04-15 21:58:48,216 | backend | INFO | Received video frame for piper/side
2026-04-15 21:58:53,187 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:58:53,190 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:58:53,190 | backend | INFO | Received odom for galaxy pose=[-0.323, -0.438, 0.0, 0.0, 0.0, 0.9679, -0.2514]
2026-04-15 21:58:53,219 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:58:53,219 | backend | INFO | Received odom for ysc pose=[2.95, -0.795, 0.0, 0.0, 0.0, 0.6479, -0.7617]
2026-04-15 21:58:53,219 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:58:53,237 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:58:53,240 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:58:53,242 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:58:53,259 | backend | INFO | Received video frame for piper/side
2026-04-15 21:58:58,199 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:58:58,261 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:58:58,265 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:58:58,274 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:58:58,274 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:58:58,294 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:58:58,309 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:58:58,309 | backend | INFO | Received odom for ysc pose=[2.185, -0.101, 0.0, 0.0, 0.0, 0.0936, -0.9956]
2026-04-15 21:58:58,309 | backend | INFO | Received odom for galaxy pose=[0.993, -0.89, 0.0, 0.0, 0.0, 0.7567, -0.6537]
2026-04-15 21:58:58,309 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:03,271 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:03,316 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:03,317 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:03,320 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:03,321 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:03,345 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:03,345 | backend | INFO | Received odom for galaxy pose=[1.19, -0.648, 0.0, 0.0, 0.0, 0.3909, -0.9204]
