2026-04-15 21:58:42,613 | mock_robots | INFO | Starting mock robots with sensor endpoint tcp://127.0.0.1:6001 and command endpoint tcp://127.0.0.1:6002
2026-04-15 21:58:43,114 | mock_robots | INFO | [galaxy] Mock robot started
2026-04-15 21:58:43,114 | mock_robots | INFO | [piper] Mock robot started
2026-04-15 21:58:43,114 | mock_robots | INFO | [ysc] Mock robot started
2026-04-15 22:05:08,315 | mock_robots | INFO | Stopping mock robots
2026-04-15 22:05:08,318 | mock_robots | INFO | [galaxy] Mock robot stopped
2026-04-15 22:05:08,320 | mock_robots | INFO | [ysc] Mock robot stopped
2026-04-15 22:05:08,325 | mock_robots | INFO | [piper] Mock robot stopped
2026-04-15 22:07:26,860 | mock_robots | INFO | Starting mock robots with sensor endpoint tcp://127.0.0.1:6001 and command endpoint tcp://127.0.0.1:6002
2026-04-15 22:07:27,360 | mock_robots | INFO | [galaxy] Mock robot started
2026-04-15 22:07:27,361 | mock_robots | INFO | [ysc] Mock robot started
2026-04-15 22:07:27,361 | mock_robots | INFO | [piper] Mock robot started
2026-04-15 22:10:19,843 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:10:20,852 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:10:21,855 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:11:09,724 | mock_robots | INFO | Stopping mock robots
2026-04-15 22:11:09,730 | mock_robots | INFO | [galaxy] Mock robot stopped
2026-04-15 22:11:09,738 | mock_robots | INFO | [ysc] Mock robot stopped
2026-04-15 22:11:09,746 | mock_robots | INFO | [piper] Mock robot stopped
2026-04-15 22:11:14,337 | mock_robots | INFO | Starting mock robots with sensor endpoint tcp://127.0.0.1:6001 and command endpoint tcp://127.0.0.1:6002
2026-04-15 22:11:14,838 | mock_robots | INFO | [galaxy] Mock robot started
2026-04-15 22:11:14,838 | mock_robots | INFO | [ysc] Mock robot started
2026-04-15 22:11:14,838 | mock_robots | INFO | [piper] Mock robot started
2026-04-15 22:12:10,488 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:11,516 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:12,532 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:13,554 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:14,593 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:15,600 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:16,604 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:17,613 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:18,042 | mock_robots | INFO | [ysc] Teleop keys=[]
2026-04-15 22:12:19,065 | mock_robots | INFO | [ysc] Teleop keys=[]
2026-04-15 22:12:20,088 | mock_robots | INFO | [ysc] Teleop keys=[]
2026-04-15 22:12:21,111 | mock_robots | INFO | [ysc] Teleop keys=[]
2026-04-15 22:12:21,644 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:22,664 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:23,606 | mock_robots | INFO | [galaxy] Teleop keys=['w']
2026-04-15 22:12:23,719 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:23,884 | mock_robots | INFO | [galaxy] Teleop keys=['s']
2026-04-15 22:12:24,018 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:24,679 | mock_robots | INFO | [galaxy] Teleop keys=['a']
2026-04-15 22:12:24,801 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:25,072 | mock_robots | INFO | [galaxy] Teleop keys=['d']
2026-04-15 22:12:25,203 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:25,566 | mock_robots | INFO | [galaxy] Teleop keys=['a']
2026-04-15 22:12:26,227 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:26,325 | mock_robots | INFO | [galaxy] Teleop keys=['d']
2026-04-15 22:12:26,493 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:26,622 | mock_robots | INFO | [galaxy] Teleop keys=['w']
2026-04-15 22:12:26,656 | mock_robots | INFO | [galaxy] Teleop keys=['w', 'a']
2026-04-15 22:12:27,085 | mock_robots | INFO | [galaxy] Teleop keys=['w']
2026-04-15 22:12:27,118 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:27,447 | mock_robots | INFO | [galaxy] Teleop keys=['s']
2026-04-15 22:12:27,777 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:28,075 | mock_robots | INFO | [galaxy] Teleop keys=['q']
2026-04-15 22:12:28,240 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:28,420 | mock_robots | INFO | [galaxy] Teleop keys=['e']
2026-04-15 22:12:28,767 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:28,936 | mock_robots | INFO | [galaxy] Teleop keys=['s']
2026-04-15 22:12:29,106 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:29,235 | mock_robots | INFO | [galaxy] Teleop keys=['d']
2026-04-15 22:12:29,328 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:29,395 | mock_robots | INFO | [galaxy] Teleop keys=['a']
2026-04-15 22:12:29,625 | mock_robots | INFO | [galaxy] Teleop keys=[]
2026-04-15 22:12:29,658 | mock_robots | INFO | [galaxy] Teleop keys=['w']
